"Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Perceptions.of.corruption","Compulsory.education..duration..years.","Individuals.using.the.Internet....of.population.","Rural.population....of.total.population.","Log.Scientific.and.technical.journal.articles","Ladder.score"
0.105620895066443,0.61492755982419,0.532133676092545,0.592775041050903,0.804617716954847,0.272727272727273,0.0970560553013768,0.945664537579841,0.572046895735492,-1.71609734513274
0.803497785245151,0.961256714960117,0.89031705227078,1,0.0768663443415554,0.509090909090909,0.916587796208083,0.174961841708714,0.678893430176229,2.16390265486726
0.785581182220865,0.878560963698519,0.929734361610968,0.76551724137931,0.533885110218799,0.672727272727273,0.840303403284626,0.22794839637958,0.833615572526334,1.03190265486726
0.518481747365205,0.615497314015953,0.448157669237361,0.543185550082102,0.838974022781283,0.454545454545455,0.683270696993037,0.11661368254246,0.233300067587289,-0.471097345132743
0.545287918130442,0.572847143089696,0.677806341045416,0.761904761904762,0.663935097926739,0.363636363636364,0.72372306163285,0.487580326848854,0.426514753647825,-0.392097345132743
0.823109821292195,0.857073091323457,0.895458440445587,0.833169129720854,0.385397033516348,0.727272727272727,0.898760857411769,0.272732133656099,0.877182173167985,1.14190265486726
0.299770887429357,0.479733029464431,0.465295629820052,0.732676518883415,0.929197738261083,0.545454545454545,0.53366091996824,0.510655155987206,0.521480332457303,-1.28809734513274
0.692424010997404,0.773400618590265,0.89031705227078,0.385878489326765,0.843153322953372,0.454545454545455,0.77508607173115,0.242630831899359,0.685142049393123,0.356902654867257
0.417748587139148,0.691030441152531,0.602970579834333,0.871373836891078,0.840776858149635,1,0.435433489992176,0.580190742847143,0.277830169629662,0.709902654867257
0.136734382159768,0.434803841771121,0.309340188517567,0.560591133004926,0.805785462591166,0.0909090909090909,0.233143905876905,0.762213083676029,0.184604396091264,-0.554097345132743
0.311077592790591,0.648298876770308,0.643744644387318,0.831691297208539,0.857166270589199,0.636363636363636,0.392743876570073,0.49852956903005,0.259352907550697,0.390902654867257
0.718176263937682,0.941396711704379,0.765209940017138,0.688669950738916,0.893304925018438,0.727272727272727,0.853251775067516,0.337234228716423,0.641811952583564,0.439902654867257
0.828837635558271,1,0.921165381319623,0.970443349753695,0.684094075227403,0.454545454545455,1,0.0735677273213366,0.434408925843142,1.94790265486726
0.352008553535971,0.374572684356178,0.538988860325621,0.890311986863711,0.790789150208965,0.272727272727273,0.350311846210204,0.784974382905086,0.89854761249921,-1.52309734513274
0.484343974339392,0.699169786749145,0.612682090831191,0.879146141215107,0.918134884864378,0.363636363636364,0.543118833205411,0.519093728429628,0.76905915420548,-0.00909734513274341
0.414751031006568,0.592137392153671,0.641388174807198,0.504515599343185,0.911251331639761,0.0909090909090909,0.509833554977602,0.35085455128766,0.652892587731886,-0.411097345132743
0.972353749809073,0.893211785772424,0.895458440445587,0.882758620689655,0.296648365156109,0.454545454545455,0.911117057042406,0.438409601306618,0.651405768762122,1.26090265486726
0.771605315411639,0.941071137880514,0.943444730077121,0.764203612479475,0.711628288125871,0.909090909090909,0.885933230142793,0.0890060372736022,0.69543874172774,1.76390265486726
0.771605315411639,0.812795051277877,0.921165381319623,0.594417077175698,0.88420880111448,0.636363636363636,0.728405890288718,0.348161596717901,0.851140441515909,0.746902654867257
